TITLE,NEIGHBORHOOD,SQUARE_METERS,NUM_OF_ROOMS,ADDRESS,DISTRICT,RENT_PRICE,RENT_PRICE_BY_SQ_METER,RENT_BY_ROOM,ENERGY_CERTIFICATE,uuid,uuid2,uuid3,uuid4
"Piso en venta en calle de Godella, 64",SAN CRISTOBAL,64,2,Calle de Godella 64,BARAJAS,471,7,235,D,28b74101-83e0-4505-b1fb-275b9fe14e10,703a2cc7-691f-42eb-91b7-9bef05d31432,079fbbd4-13fb-42f2-9a14-fc17c551b695,59647ce1-a8cc-4955-b3ce-f07cee233c8a
Piso en venta en calle de la del Manojo de Rosas,LOS ANGELES,70,3,Calle de la del Manojo de Rosas,BARAJAS,666,9,222,,02313928-3ecc-477f-8dba-b0c5fd765ffc,fefa3518-00f9-468a-aeda-66a9b3c68099,4d8366e7-15b4-445b-ab94-f9250c1d212a,df3093a6-37f5-4e39-b85e-c8fd83acb2d9
"Piso en venta en calle del Talco, 68",SAN ANDRES,94,2,Calle del Talco 68,BARAJAS,722,7,361,,e0d7b026-e884-4a6b-b56e-1ee206bfd7aa,209e594d-db9d-48a4-b47c-b50c4ff101b7,01794b65-86e2-4a94-844c-dc4b1c935c3d,1932fde9-e830-4aa3-ae11-d356d59178aa
Piso en venta en calle Pedro Jiménez,SAN ANDRES,64,2,Calle Pedro Jiménez,BARAJAS,583,9,291,,eab175c7-6afd-422f-840e-5a7594eaab90,2e539270-da06-40e2-be74-592c1e526321,236f5aa0-e173-44c8-9dc0-5f7d3476da4c,47584d36-d27b-40c0-acfb-9274b2f1d77d
Piso en venta en carretera de Villaverde a Vallecas,LOS ROSALES,108,2,Carretera de Villaverde a Vallecas,BARAJAS,1094,10,547,,294b7dbe-2444-42d1-8bc5-c3960cea31b6,7a1a66c6-8a74-4052-a4c4-98785c1ff254,df857f1b-1573-4f5b-8a81-ef98ad92f9ff,3cd4eb67-f218-4e24-8977-1c2c59f188b2
Piso en venta en geologia,SAN ANDRES,126,4,geologia,BARAJAS,901,7,225,,f01f5650-e1f6-43b3-962d-67018e2d2a2b,914c1f6a-9c8d-468c-be03-0ef67281a417,2ab87148-13e0-4b7f-93c5-1449ee98db8a,507e5ff6-f4e9-4dc7-89a5-e6016df2c9e3
Piso en venta en avenida Real de Pinto,SAN ANDRES,120,5,Avenida Real de Pinto,BARAJAS,884,7,176,F,e4dd2e4b-5ab9-47f9-b67a-449ec6621eec,f1d5303c-a1d5-483b-b48e-d6011b443638,03fbac41-9e96-4b51-9195-5ee2f419349a,c7d8095f-6258-4ac9-a66b-2f5a09dd7709
Piso en venta en San Andrés,VILLAVERDE,125,3,,BARAJAS,912,7,304,,37324e17-6ae1-4421-bf9f-af14988468d6,a7a827ba-e974-42d5-867f-0bd89e4caa0b,df55e434-353a-4582-b330-a01ec85c08ee,6280cb10-a41f-4afd-aa60-c59f2263ee78
Piso en venta en Butarque,VILLAVERDE,84,3,,BARAJAS,954,11,318,F,fdaac0d5-91e7-4019-9c36-f8bab9430044,69ec6e54-fee5-4de6-9159-c6ed7260ecde,8db10ee9-55a5-4182-b7c5-007a93480dbe,d8031da8-1f73-4ea2-9d90-4d2b94a5bada
Piso en venta en calle de Martinez Oviol,LOS ROSALES,85,2,Calle de Martinez Oviol,BARAJAS,672,7,336,,8014021a-5001-4a06-8df3-2c5d685333ba,3c8fc4df-b4e8-48a3-b9f4-6046cbf30f2b,bbe76724-cfe5-4117-980f-f350e6dab48d,8ab19236-96cd-48d1-8fa7-10fb95a91911
Piso en venta en De la Plata - Villaverde,SAN ANDRES,69,2,De la Plata - Villaverde,BARAJAS,617,8,308,,269f902a-88a0-4421-a936-ed55cf49363d,fc616d02-efcb-4cdf-9555-70a0f23e9f5f,956f5f9f-1b75-4687-9d76-b5e3df39f369,2fac1477-b364-454b-96c9-37625bbd0a2c
Piso en venta en Butarque,VILLAVERDE,122,3,,BARAJAS,1058,8,352,E,b8ab4c5c-7076-4f59-bf0f-598e7e0fb18f,c774e29c-e09e-457b-a1ee-a71137d376da,b96ea12c-1bc9-4bcd-bd12-7adb24d41740,6d1ad420-9a13-4d38-a1e6-4c1122257779
"Piso en venta en calle de la Unanimidad, 67",LOS ROSALES,123,3,Calle de la Unanimidad 67,BARAJAS,901,7,300,D,43577889-28ee-434b-aaaf-bebb7d840e82,29d566a5-d077-48a2-96de-a37f77fdde53,4db5f49e-9dda-4871-98fb-01e158e92adb,db40f941-0a33-43ef-b442-f8798bf47bb7
"Piso en venta en calle de Anoeta, 63",LOS ANGELES,109,3,Calle de Anoeta 63,BARAJAS,933,8,311,E,3051be0c-f99e-4b79-9c13-17525c688c42,4d82a726-849c-4e07-bd90-c6d16482d206,a25a8a41-4fab-441e-a9af-1dd6f6c8cda9,a8d46e6f-fbdf-4cd6-9c9a-d85f9c396099
