num_expediente,fecha,hora,timestamp,localizacion,numero,cod_distrito,distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona,rango_edad,sexo,cod_lesividad,lesividad,coordenada_x_utm,coordenada_y_utm,coordenadas,positiva_alcohol,positiva_droga
2024S000001,01/01/2024,1:20:00,2024-01-01T01:20:00Z,"AUTOV. M-30, 08NL00",08NL00,3,RETIRO,Colisión múltiple,Despejado,Turismo,Conductor,De 25 a 29 años,Hombre,14,Sin asistencia sanitaria,443926.583,4473998.426,"443926.583, 4473998.426",0,0
2024S000001,01/01/2024,1:20:00,2024-01-01T01:20:00Z,"AUTOV. M-30, 08NL00",08NL00,3,RETIRO,Colisión múltiple,Despejado,Turismo,Conductor,De 25 a 29 años,Hombre,14,Sin asistencia sanitaria,443926.583,4473998.426,"443926.583, 4473998.426",0,0
2024S000001,01/01/2024,1:20:00,2024-01-01T01:20:00Z,"AUTOV. M-30, 08NL00",08NL00,3,RETIRO,Colisión múltiple,Despejado,Turismo,Conductor,De 30 a 34 años,Hombre,14,Sin asistencia sanitaria,443926.583,4473998.426,"443926.583, 4473998.426",0,0
2024S000001,01/01/2024,1:20:00,2024-01-01T01:20:00Z,"AUTOV. M-30, 08NL00",08NL00,3,RETIRO,Colisión múltiple,Despejado,Turismo,Conductor,De 55 a 59 años,Hombre,14,Sin asistencia sanitaria,443926.583,4473998.426,"443926.583, 4473998.426",0,0
2024S000001,01/01/2024,1:20:00,2024-01-01T01:20:00Z,"AUTOV. M-30, 08NL00",08NL00,3,RETIRO,Colisión múltiple,Despejado,Turismo,Pasajero,De 18 a 20 años,Mujer,1,Atención en urgencias sin posterior ingreso,443926.583,4473998.426,"443926.583, 4473998.426",0,0
2024S000001,01/01/2024,1:20:00,2024-01-01T01:20:00Z,"AUTOV. M-30, 08NL00",08NL00,3,RETIRO,Colisión múltiple,Despejado,Turismo,Pasajero,De 25 a 29 años,Mujer,14,Sin asistencia sanitaria,443926.583,4473998.426,"443926.583, 4473998.426",0,0
2024S000001,01/01/2024,1:20:00,2024-01-01T01:20:00Z,"AUTOV. M-30, 08NL00",08NL00,3,RETIRO,Colisión múltiple,Despejado,Turismo,Pasajero,De 30 a 34 años,Hombre,14,Sin asistencia sanitaria,443926.583,4473998.426,"443926.583, 4473998.426",0,0
2024S000001,01/01/2024,1:20:00,2024-01-01T01:20:00Z,"AUTOV. M-30, 08NL00",08NL00,3,RETIRO,Colisión múltiple,Despejado,Turismo,Pasajero,De 30 a 34 años,Mujer,14,Sin asistencia sanitaria,443926.583,4473998.426,"443926.583, 4473998.426",0,0
2024S000001,01/01/2024,1:20:00,2024-01-01T01:20:00Z,"AUTOV. M-30, 08NL00",08NL00,3,RETIRO,Colisión múltiple,Despejado,Turismo,Pasajero,De 55 a 59 años,Mujer,14,Sin asistencia sanitaria,443926.583,4473998.426,"443926.583, 4473998.426",0,0
2024S000002,01/01/2024,2:45:00,2024-01-01T02:45:00Z,"CALL. PUERTO ALTO, 48",48,13,PUENTE DE VALLECAS,Choque contra obstáculo fijo,Despejado,Turismo,Conductor,De 50 a 54 años,Hombre,77,Se desconoce,443248.639,4471571.066,"443248.639, 4471571.066",1,0
2024S000002,01/01/2024,2:45:00,2024-01-01T02:45:00Z,"CALL. PUERTO ALTO, 48",48,13,PUENTE DE VALLECAS,Choque contra obstáculo fijo,Despejado,Turismo,Conductor,Desconocido,Desconocido,77,Se desconoce,443248.639,4471571.066,"443248.639, 4471571.066",0,0
2024S000002,01/01/2024,2:45:00,2024-01-01T02:45:00Z,"CALL. PUERTO ALTO, 48",48,13,PUENTE DE VALLECAS,Choque contra obstáculo fijo,Despejado,Turismo,Conductor,Desconocido,Desconocido,77,Se desconoce,443248.639,4471571.066,"443248.639, 4471571.066",0,0
2024S000002,01/01/2024,2:45:00,2024-01-01T02:45:00Z,"CALL. PUERTO ALTO, 48",48,13,PUENTE DE VALLECAS,Choque contra obstáculo fijo,Despejado,Turismo,Conductor,Desconocido,Desconocido,77,Se desconoce,443248.639,4471571.066,"443248.639, 4471571.066",0,0
2024S000002,01/01/2024,2:45:00,2024-01-01T02:45:00Z,"CALL. PUERTO ALTO, 48",48,13,PUENTE DE VALLECAS,Choque contra obstáculo fijo,Despejado,Turismo,Pasajero,De 40 a 44 años,Mujer,14,Sin asistencia sanitaria,443248.639,4471571.066,"443248.639, 4471571.066",0,0
2024S000004,01/01/2024,2:00:00,2024-01-01T02:00:00Z,"AVDA. DOCTOR GARCIA TAPIA, 64",64,14,MORATALAZ,Colisión fronto-lateral,Despejado,Turismo,Conductor,De 18 a 20 años,Mujer,77,Se desconoce,444512.986,4473729.076,"444512.986, 4473729.076",0,0
